130115,1,月2; 木2,行政法‐A,神山 智美,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,1回目から15回目まではレジュメを配布する。行政法総論や行政救済法の参考書(教科書)は多く、そのなかで自身が使いやすいもの(予備校のテキスト等も含む)を持参して受講してもよい。教員が推奨する参考書は下欄に挙げる。\\n以下のようなスケジュールを予定している。(進度により変更することがある。)\\n1ガイダンス・行政法の基本構造\\n2法律による行政の原理\\n3行政法の基本原理\\n4行政体と行政機関・行政機関相互の関係\\n5行政立法・行政準則\\n6行政行為\\n7行政裁量\\n8行政契約・行政指導(レポート課題提示(予定))\\n9行政計画・行政調査\\n10行政上の義務履行確保\\n11行政上の不服申立て\\n12行政事件訴訟(1)\\n13行政事件訴訟(2)\\n14行政事件訴訟(3)\\n15損失補償・国家賠償(期末試験に代わり第15回目に授業のまとめと試験を実施する可能性もある。),達成目標を念頭に置いて、授業終了時に随時実施する小テストまたはレポート50%、期末試験 50%(持ち込み可のものもある)により、総合的に評価する。\\nただし、期末試験を期末レポートに変更する場合がありうる。(期末試験に代わり第15回目に授業のまとめと試験を実施する可能性もある。)\\n小テスト(中間レポート)等および期末レポートのいずれも、提出には経済学部棟2階に設置されたレポートボックスを活用予定である。,
130116,1,月2; 木2,調査データ解析-A,中村 真由美,3,専門教育科目 経済DSプログラム・発展科目,2,,1ガイダンス。基礎知識の復習。統計分析技法の概観1\\n2統計学の手法の概観2\\n3統計学の手法の概観3\\n4記述統計、多重クロス表分析\\n5記述統計、多重クロス表分析\\n6分散分析\\n7分散分析\\n8単回帰分析、重回帰分析\\n9重回帰分析\\n10重回帰分析\\n11ロジスティック回帰分析\\n12ロジスティック回帰分析\\n13因子分析\\n14因子分析\\n15まとめ・レポートについての質問受付,授業参加、分析作業、レポート2回(1回目のレポート40%、2回目のレポート60%)\\n【評価基準】\\n・授業中に指示された科学的な手法に従って、オリジナルの分析を進める\\n・分析テーマや手法は教員とよく相談し、教員のアドバイスに適宜従う\\n・分析テーマや手法に研究としてのオリジナリティがある\\n・授業中に指示されたフォーマットに沿ってレポートを仕上げる,
130117,1,月3; 木1,管理会計論‐A,森口 毅彦,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,<管理会計論A>\\nI 管理会計の基礎\\n第1回	管理会計の領域\\n第2回	管理会計の基礎概念(1)経営管理と管理会計\\n第3回	管理会計の基礎概念(2)マネジメントの機能と管理会計\\nII CVP分析と利益計画\\n第4回	CVP分析の基礎概念\\n第5回	損益分岐点分析(1)CVP分析と損益分岐点分析\\n第6回	損益分岐点分析(2)損益分岐点分析の算式\\n第7回	CVP分析(1)CVP分析の基礎分析\\n第8回	CVP分析(2)CVP分析の発展分析\\n第9回	CVP分析(3)CVP分析の応用分析\\nIII 予算管理と原価管理\\n第10回	 予算管理(1)予算管理の意義\\n第11回	 予算管理(2)予算編成\\n第12回	 予算管理(3)予算差異分析\\n第13回	 原価管理(1)原価管理の意義\\n第14回	 原価管理(2)標準原価概念\\n第15回	 原価管理(3)標準原価の差異分析\\n第16回	 定期試験\\n<管理会計論B>\\nIV 事業部の業績評価とEVA/BSC\\nV 業務的意思決定\\nVI 戦略的意思決定と設備投資意思決定\\nVII 経営戦略と管理会計\\n「会計」と聞いてまず思い浮かべるのは; 簿記や財務会計だと思うが; 会計の分野にはもうひとつ「管理会計」と呼ばれる領域がある。そこで「管理会計論A・B」の講義では; まず; 管理会計は財務会計とどう違うのか; 管理会計はどんな性質をもったものなのか; といったところから話をはじめていく(「I 管理会計の基礎」)。そして; 【授業のねらい】で述べたように; 管理会計は「経営管理を目的とする会計」であるが; それがどういうものかを具体的に理解してもらうために; どういう経営管理問題に対して; どのような技法を用いて役立ちを図るのかを; 「II CVP分析と利益計画」から「VI 戦略的意思決定と設備投資意思決定」までの5つのテーマを通して解説していく。その際; まず各技法を支える基礎概念を整理し; その上で練習問題を通して具体的な適用を考察していく。また; 時間が許す限り; 「VII 経営戦略と管理会計」において; 経営戦略の実行を意図した戦略マネジメントをサポートする多様な戦略的コスト・マネジメント手法などについて解説する。\\n本講義「管理会計論A」では; 「I 管理会計の基礎」において管理会計の基礎的概念を習得した後; 「II CVP分析と利益計画」ならびに「III 予算管理と原価管理」を通して; 利益計画への役立ちを目的とした管理会計の代表的な諸技法について解説を行う。,定期試験の結果により評価を行う(100%)。\\nまた; 達成目標との関連に関しては; 達成目標1について30%; 2について70%で評価を行う。,
130118,1,月4; 水1,会計情報システム論‐A,上東 正和,3 ; 4,専門教育科目 昼間主開講・発展科目,2,,授業は理論的内容の学習とコンピュータ実習の二本立てからなる(コンピュータ実習のウエイトが高くなるので苦手意識がある人は注意してください)。コンピュータ実習は、前半の理論的内容とリンクした形でExcelやその他のソフトを用いて行う。授業の内容は概ね次のような流れとなる。\\n1.財務会計 + コンピュータ実習\\n2. 〃\\n3. 経営分析 + コンピュータ実習\\n4. 〃\\n5. 販売管理、在庫管理 + コンピュータ実習\\n6. 〃\\n7.経営戦略と会計 + コンピュータ実習\\n8. 〃\\n9. マーケティングと会計 + コンピュータ実習\\n10.   〃\\n11.  組織・人事管理 + コンピュータ実習\\n12.     〃\\n13. ファイナンスと会計 + コンピュータ実習\\n14.    〃\\n15. まとめ\\n会計情報システム論Bは会計情報システム論Aの上級編となりますので、上記の流れの内容をもう一度、行います。,ほぼ毎回提出していただく課題の提出によって、授業内容を理解したか、コンピュータ実習の課題を行ったか等を評価する(100%)。,
130125,1,月1; 水2,特殊講義 コストマネジメント,真部 典久,4,専門教育科目 昼間主開講・学科特殊講義,2,,各回の授業では以下の内容を講義する予定です。\\n第01回(4/13) コストマネジメントの基礎知識\\n第02回(4/15) 標準原価計算(1)\\n第03回(4/20) 標準原価計算(2)\\n第04回(4/22) CVP分析\\n第05回(4/27) 直接原価計算\\n第06回(4/30) 差額原価収益分析\\n第07回(5/11) 前半のまとめとテスト\\n第08回(5/13) スループット会計\\n第09回(5/18) ミニ・プロフィットセンター\\n第10回(5/20) 活動基準原価計算\\n第11回(5/25) 品質原価計算\\n第12回(5/27) ライフサイクル・コスティング\\n第13回(6/01) 原価企画\\n第14回(6/03) 授業全体についての質疑応答\\n第15回(6/08) 後半のまとめとテスト,2回のテストの結果に基づき評価します。\\n前半のテスト(40%)\\n評価基準:コストマネジメントの概念と考え方を説明できるか。また; 授業の前半で取り上げたコストマネジメント手法を用いて経営上の問題を検討できるか。\\n後半のテスト(60%)\\n評価基準:コストマネジメントの概念と考え方を説明できるか。また; 授業の後半で取り上げたコストマネジメント手法を用いて経営上の問題を検討できるか。,
130126,1,月2; 木2,調査データ解析,中村 真由美,4,専門教育科目 昼間主開講・発展科目,2,,1ガイダンス。基礎知識の復習。統計分析技法の概観1\\n2統計学の手法の概観2\\n3統計学の手法の概観3\\n4記述統計、多重クロス表分析\\n5記述統計、多重クロス表分析\\n6分散分析\\n7分散分析\\n8単回帰分析、重回帰分析\\n9重回帰分析\\n10重回帰分析\\n11ロジスティック回帰分析\\n12ロジスティック回帰分析\\n13因子分析\\n14因子分析\\n15まとめ・レポートについての質問受付,授業参加、分析作業、レポート2回(1回目のレポート40%、2回目のレポート60%)\\n【評価基準】\\n・授業中に指示された科学的な手法に従って、オリジナルの分析を進める\\n・分析テーマや手法は教員とよく相談し、教員のアドバイスに適宜従う\\n・分析テーマや手法に研究としてのオリジナリティがある\\n・授業中に指示されたフォーマットに沿ってレポートを仕上げる,
130601,1,月6; 月7,財産法I‐A,香川 崇,4,専門教育科目 夜間主開講・基礎科目,2,,第1回  イントロダクション\\n権利能力(1)\\n第2回  権利能力(2)、意思能力・行為能力(1)\\n第3回  意思能力・行為能力(2)\\n第4回  法人(1)\\n第5回  法人(2)、物\\n第6回  法律行為\\n第7回  心裡留保・虚偽表示(1)\\n第8回  虚偽表示(2)\\n第9回  虚偽表示(3)\\n第10回 錯誤(1)\\n第11回 錯誤(2)\\n第12回 錯誤(3)\\n第13回 詐欺・強迫(1)\\n第14回 詐欺・強迫(2)\\n第15回 無効・取消し,学期末試験(100%)で評価する。達成目標を念頭に置いて、評価する。,
13406D,1-2,月2,専門ゼミナールIV,モヴシュク・オレクサンダー,4,専門教育科目 必修科目,2,,前期では、応用計量分析を行うためのデータ処理方法やデータソースの紹介、回帰分析の概要、最小二乗法、仮説検定、回帰分 析から生じる一般的な問題と解決方法を学習する。後期では、実際のデータを利用して回帰分析を行う。具体的な例として、各国のデータを利用して、経済成長 の重要な要因を特定化する。ゼミの後期では、学生が回帰分析を利用した卒論のテーマを自ら選択し(経済成長論に限らず、テーマは自由選択)、分析の中間結果を発表する。\\n授業スケジュ-ル:\\n1.	イントロダクション、ゼミの進め方\\n2.	データの収集方法\\n3.	Rの入門と実習\\n4.	回帰分析の入門(単純回帰モデル・多重回帰モデル)\\n5.	回帰分析I(モデルの当てはまり度)\\n6.	回帰分析II(非線形式の回帰分析)\\n7.	回帰分析II(仮説検定)\\n8.	回帰分析の実習\\n9.	回帰分析の実習\\n10.	回帰分析の実習\\n11.	回帰分析の実習\\n12.	回帰分析の実習\\n13.	回帰分析の実習\\n14.	回帰分析の実習\\n15.	学習のまとめ,評価基準:\\n(1)発表 (50%): 内容の理解度、分析の深さ、発表資料の明確さ、質疑応答への対応を基に評価します。\\n(2)レポート (50%): データ分析の正確さ、論理的な結論、結果の解釈、レポートの構成と文章の明瞭さを重視します。,
13415D,1-2,月2,専門ゼミナールIV,山本 真人,4,専門教育科目 必修科目,2,,1~15. 統計学およびRによる統計解析に関する学習,レポート草稿提出:30%\\n<評価基準>\\n提出されたレポート草稿を元に、内容に関する議論や意見交換を主体的に行う\\n最終レポート:70%\\n<評価基準>\\n卒業論文を念頭に置いた、テーマに沿った主張を根拠と共に示すことができる\\n欠席した場合は、当該回に関する追加課題を提出することにより出席に準ずる扱いとする。欠席は5回までを限度とする。やむを得ない事情によりこれを超えて欠席する場合は、理由書を提出することにより欠席を認める。\\nなお、これらの提出が必要な場合に提出されないときは、原則として不合格とする。,
13419D,1-2,月2,専門ゼミナールIV,本間 哲志,4,専門教育科目 必修科目,2,,卒業論文のテーマにしたい事柄について報告してもらい; 論文として作成可能かを議論します.夏休み前までにテーマと論文構成を決定します.ゼミの予定については初回のゼミで説明しますが; 概ね次のような内容を順に行う予定です.\\n第1回~第5回:テーマ探しのための文献及び資料収集ならびにそれらの整理\\n第6回~第10回:候補テーマの設定とテーマの選択\\n第11回~第15回:テーマ発表及びディスカッション,議論での発言の内容(50点)とレポート課題(50点)で評価します.\\nゼミでの議論を踏まえ; 的確に自分の意見を述べているか; また; レポート課題を正しく作成しているかを評価基準とします.,
13423D,1-2,月2,専門ゼミナールIV,内藤 颯海,4,専門教育科目 必修科目,2.0,,金融工学のテキストの輪読を行う。その他;  必要に応じて適宜参考書を提示する.\\n次のスケジュールで進める予定だが;  進捗;  理解状況によってはこの限りではない.\\n第1回〜第6回 金融工学の理論\\n第7回〜第10回 実データでの分析;  数値シミュレーション\\n第11回〜第14回 実務の発展的な話題\\n第15回 まとめ,ゼミでの発表 100%\\n評価基準\\n・金融工学に関する基本的な内容の理解ができている (70%)\\n・ゼミ内で積極的に質問や発言をしている (30%),
13430D,1-2,月2,専門ゼミナールIV,唐渡 広志,4,専門教育科目 必修科目,2,,1-7 回目 テーマ設定・中間報告\\n8-15 回目 テーマ設定・中間報告\\n前半はテーマを選択し; トピックを絞るために; そのテーマでわかっていることとわかっていないことを把握する。その中で論文になりそうな問題設定を行う。論文の目的をコンパクトにしていくことに集中する。また; そのためのアドバイスを行う。\\n後半は自分の論文の目的を明確にした上で; 必要な調査; 資料収集; データ解析を行う。中間発表を数回行い; 他者との議論を通じて問題設定をより明快にし分析を精緻化していく。また; そのためのアドバイスを行う。12月中旬を目処に; 完成原稿に基づいて最終報告を行う。その後; 綿密な改訂作業を行う。,・調査; 文献・資料収集の方法を身につける.(25%)\\n・適切な分析手法が選択できるようになる.(25%)\\n・効率的な発表とそのための準備ができるようになる.(25%)\\n・アカデミックな文章の書き方をマスターする.(25%),
13463D,1-2,月2,専門ゼミナールIV,辻本 淳史,4,専門教育科目 必修科目,2,,第1週 ガイダンス\\n第2週 テーマ選択(1)――前学期の振り返り\\n第3週 テーマ選択(2)――思い付きをたくさん聞く\\n第4週 テーマ選択(3)――文献案内\\n第5週 テーマ選択(4)――最終選択\\n第6週 報告\\n第7週 報告\\n第8週 中間まとめ\\n第9週 報告\\n第10週 報告\\n第11週 報告\\n第12週 課外活動\\n第13週 報告\\n第14週 報告\\n第15週 最後のまとめ,採点は、達成目標を念頭において、報告の出来栄え、準備の努力、質疑応答への積極性を50%:25%:25%の割合で評価しておこないます。,【連絡先】\\natjmt@eco.u-toyama.ac.jp\\n【オフィス・アワー】\\n水曜日5限(事前に問い合わせをお願いします)
13466D,1-2,月2,専門ゼミナールIV,青木 一益,4,専門教育科目 必修科目,2,,主に、研究素材たる文献・論文などを輪読する。各回の割り当てを決め、担当者が、レジュメあるいはパワーポイント・ファイルを作成の上、プレゼンテーションを行った後、履修者全員によるディスカッションにより、論点内容を確認するなどし、対象や問題点に対する理解・認識を深める。\\n第1回 イントロダクション\\n第2回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第3回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第4回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第5回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第6回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第7回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第8回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第9回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第10回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第11回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第12回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第13回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第14回 図書・論文などの輪読:プレゼンテーションおよびディスカッション\\n第15回 図書・論文などの輪読:プレゼンテーションおよびディスカッション,各授業でのプレゼンテーションやディスカッションにおける貢献度を、以下の側面から総合的に判断して評価する。\\n・授業参加度(40%):各回のゼミでのプレゼンテーションおよびディスカッションに対する参加意欲・積極性・能動性\\n・調査研究内容(60%):各回のゼミでのプレゼンテーションおよびディスカッションに見る学術的な志向性とその改善意欲,
13B18A,1-2,月2,2年次ゼミナール-I,両角 良子,2 ; 3 ; 4,専門教育科目 学部共通科目,2,,第1回:オリエンテーション\\nゼミの内容・成績評価・履修マナー・スケジュール・輪読用文献の確認\\n第2回:図書館ツアー・文献検索の解説\\n第3回~第15回:社会保障に関する文献の輪読,輪読準備・ディスカッション・報告の内容から評価します。\\n・輪読準備・ディスカッション:60%\\n・輪読箇所の報告:40%\\n評価基準:達成目標に示す内容をクリアしていること。,・特殊事情が発生した場合について\\nシラバスに書かれている内容を部分的に変更して開講することがあります。\\nオンデマンド授業を行う可能性があります。
13B22A,1-2,月5,2年次ゼミナール-I,松山 淳,2 ; 3 ; 4,専門教育科目 学部共通科目,2,,テキストは、広く哲学、経済学の古典、数理的な文献などを含め、幅広いジャンルを想定します。\\n指定されたテキストを用いて、毎回1章程度を輪読します。前もって各章の報告者を決め、報告者は担当箇所のレジュメを作成し、報告します。その際、担当箇所の内容の要約と、論点・疑問点を出してもらいます。報告者によって提起された論点・疑問点に基づき、参加者全員で討論を行います。テキストは受講者で話し合いの上で決めます。\\n第1回イントロダクション\\n第2-3回社会科学に関する文献の輪読1\\n第4-5回社会科学に関する文献の輪読2\\n第6-7回関連文献の輪読1\\n第8-9回関連文献の輪読2\\n第10-11回関連文献の輪読3\\n第12-13回関連文献の輪読4\\n第14-15回 まとめと理解度確認,輪読準備・ディスカッション・報告の内容を評価します。\\n・輪読準備・ディスカッション:60%\\n・輪読箇所の報告:40%\\n評価基準:達成目標に示す内容をクリアしていること。,
